-8,050	601032,704	17322,000
-7,850	601310,208	17250,000
-7,650	601605,120	17231,000
-7,550	598979,584	16914,000
-7,450	601912,320	17344,000
-7,350	599079,936	17118,000
-7,150	599198,720	16978,000
-6,950	599316,480	16860,000
-6,750	599441,408	16980,000
-6,550	599571,456	17203,000
-6,350	599715,840	17214,000
-6,150	599867,392	17068,000
-5,950	600031,232	17149,000
-5,750	600202,240	16835,000
-5,550	600388,608	16596,000
-5,350	600585,216	16629,000
-5,150	600803,328	16509,000
-4,950	601036,800	16536,000
-4,750	601291,776	17057,000
-4,550	601565,184	17074,000
-4,350	601868,288	17211,000
-4,150	573515,776	16030,000
-3,950	597490,688	17006,000
-3,750	597894,144	16819,000
-3,550	598330,368	16888,000
-3,350	598836,224	16887,000
-3,150	599389,184	16573,000
-2,950	600018,944	16483,000
-2,750	600749,056	16576,000
-2,550	601586,688	16861,000
-2,350	602571,776	17170,000
-2,150	598625,280	16961,000
-1,950	600017,920	16694,000
-1,750	601733,120	17049,000
-1,550	598727,680	16861,000
-1,350	601498,624	17478,000
-1,150	600013,824	16884,000
-0,950	600014,848	16918,000
-0,750	602680,320	16904,000
-0,550	600013,824	16767,000
-0,350	600012,800	16845,000
-0,150	600012,800	16920,000
0,150	600012,800	16925,000
0,350	600012,800	17150,000
0,550	600013,824	16976,000
0,750	602680,320	16793,000
0,950	600014,848	16996,000
1,150	600015,872	16729,000
1,350	601498,624	17100,000
1,550	598725,632	16935,000
1,750	601732,096	17180,000
1,950	600016,896	17176,000
2,150	598623,232	16967,000
2,350	602571,776	17086,000
2,550	601587,712	17038,000
2,750	600748,032	17081,000
2,950	600022,016	16591,000
3,150	599389,184	16603,000
3,350	598828,032	16347,000
3,550	598328,320	16853,000
3,750	597889,024	17192,000
3,950	597490,688	16950,000
4,150	602193,920	17021,000
4,350	601869,312	17283,000
4,550	601565,184	17154,000
4,750	601291,776	16785,000
4,950	601036,800	16748,000
5,150	600802,304	16602,000
5,350	600586,240	16538,000
5,550	600384,512	16659,000
5,750	600201,216	16512,000
5,950	600023,040	16853,000
6,150	599868,416	16792,000
6,350	599712,768	16923,000
6,550	599570,432	17241,000
6,750	599441,408	16992,000
6,950	599316,480	17176,000
7,150	599194,624	17171,000
7,350	599075,840	17092,000
7,450	601910,272	17210,000
7,550	598977,536	16807,000
7,650	601603,072	17116,000
7,850	601307,136	17314,000
8,050	601031,680	17004,000
